name,x position,y position,z position,Elbow_Angle,Humeral_pro/ret,Humeral_ele/dep
atlas,7.813897,8.754022,12.930374,103.0851252,123.5683801,63.01320266
atlas,7.653766,8.718195,12.901867,104.1134652,121.9614964,60.72930443
atlas,7.518706,8.714598,12.796629,105.7371843,133.3489724,63.29249763
atlas,7.308901,8.613243,12.816057,103.9540073,126.4220756,61.97842858
atlas,7.160976,8.549091,12.811709,106.7459172,133.8823244,62.4884957
atlas,6.88965,8.415218,12.823055,105.6011316,126.7895502,63.25472973
atlas,6.708805,8.325738,12.834405,105.1644589,123.6900648,59.61136129
atlas,6.588465,8.320392,12.737633,106.3755185,135.1072545,61.71246815
atlas,6.415007,8.232848,12.695043,110.0101067,136.6907864,64.99301837
atlas,6.232121,8.107479,12.736708,108.5732215,137.0103739,65.28737151
atlas,6.083697,8.046845,12.71612,109.4083066,142.0493729,66.47466889
atlas,5.867242,7.906347,12.69119,110.6559801,135.9619389,64.25824303
atlas,5.673637,7.807251,12.666871,108.9179402,133.4397489,65.47029218
atlas,5.520058,7.6984,12.70518,110.6040285,135.364159,69.88015019
atlas,5.329718,7.58327,12.722357,111.7498994,125.732888,65.11116786
atlas,5.145019,7.513335,12.616983,113.50982,137.2996196,66.7532954
atlas,4.974394,7.399298,12.582817,115.181599,136.8525527,65.10811744
atlas,4.740387,7.282615,12.515415,115.724741,136.8551775,65.55859253
atlas,4.611052,7.169156,12.543986,114.1839884,135.3333505,63.97116411
atlas,4.451672,7.005665,12.588459,114.5907788,134.8392973,59.33411592
atlas,4.218301,6.817413,12.627806,115.8190978,125.1041699,64.00301914
atlas,4.059577,6.753808,12.514963,115.6729688,140.2052622,68.33212248
atlas,3.912532,6.618473,12.513544,114.2180934,142.0852579,69.97319923
atlas,3.686014,6.407553,12.558479,117.8969713,137.585875,69.93295584
atlas,3.506441,6.216908,12.60339,115.158373,131.5608677,66.44064794
atlas,3.312904,6.077875,12.56329,117.040818,132.6924118,67.68799201
atlas,3.127262,5.927585,12.538255,114.0948093,130.2757958,65.09471565
atlas,2.955928,5.761076,12.562864,111.0606213,126.9970092,65.83320004
atlas,2.766909,5.656465,12.482418,110.9815363,129.507029,60.18730091
atlas,2.606474,5.551921,12.457593,105.6767836,128.9665836,57.00071655
atlas,2.441727,5.389407,12.470995,105.6020685,131.2654305,60.27452772
atlas,2.25192,5.241225,12.483978,105.8434555,134.781015,60.89677988
atlas,2.068809,5.096174,12.492779,97.69282847,134.625981,62.7646566
atlas,1.929757,5.027561,12.454533,95.65083834,128.1027188,64.48710809
atlas,1.767332,4.840268,12.507424,92.69367398,120.0802215,63.32736298
atlas,1.551047,4.672342,12.531787,86.80223908,113.4082576,58.72179718
atlas,1.437509,4.638542,12.441836,82.73404754,124.3814392,57.84770733
atlas,1.275937,4.517433,12.447847,78.74644624,117.1820821,59.06885293
atlas,1.118476,4.456861,12.399172,74.8565762,116.896426,59.76414768
atlas,0.981887,4.361689,12.420865,72.59373785,113.4276744,60.27191347
atlas,0.819086,4.209268,12.518426,72.02749854,99.67995486,59.39895917
atlas,0.71625,4.228096,12.460319,68.76903339,104.0167758,55.06830154
atlas,0.548395,4.11483,12.524222,65.82553446,100.527154,55.85490518
atlas,0.421335,4.051697,12.500558,64.70524501,103.3609316,58.09287997
atlas,0.331684,4.029037,12.466091,63.24226353,101.4988462,54.3826628
atlas,0.208902,3.923902,12.570095,62.00895904,87.94528862,53.84180081
atlas,0.13481,3.891891,12.534837,63.19647512,95.89434008,50.38502094
atlas,-0.012986,3.846076,12.556107,62.70911212,89.59772891,50.94511102
atlas,-0.132009,3.86566,12.508035,64.21952239,94.99964368,52.66858652
atlas,-0.203268,3.866358,12.486362,64.55978471,99.52453821,54.48345653
atlas,-0.306312,3.846029,12.475284,63.29984864,98.13364874,53.80381003
atlas,-0.393811,3.821913,12.496899,63.34851477,97.16982587,54.16765002
atlas,-0.510057,3.76471,12.588408,63.73139299,94.15949156,54.33042883
atlas,-0.616986,3.837917,12.473002,64.58450228,91.78384125,54.02015451
atlas,-0.692572,3.881405,12.428866,66.11583182,93.80797803,55.68555493
atlas,-0.82215,3.840565,12.464478,67.74000326,91.15507679,56.67225121
atlas,-0.901569,3.863294,12.434082,65.01527582,87.39566179,56.9492083
atlas,-0.995765,3.852417,12.44885,65.96824388,94.88320733,60.32744722
atlas,-1.094279,3.852075,12.46141,66.51302254,85.2882008,55.39668739
atlas,-1.146579,3.84647,12.477077,66.2873827,87.11340609,55.3839624
atlas,-1.206409,3.882539,12.448196,68.83764754,91.75207955,58.92792086
atlas,-1.273063,3.882526,12.483911,67.7110502,84.91308938,55.8828844
atlas,-1.345494,3.902688,12.481869,70.66925348,85.7737387,58.40664638
atlas,-1.395326,3.894686,12.507613,70.42402314,82.07652333,52.88430789
atlas,-1.439403,3.92803,12.498975,70.52852924,86.67811025,58.2703821
atlas,-1.505737,3.96162,12.507626,69.96493463,86.30838547,56.75866177
atlas,-1.558574,3.945248,12.558333,72.31309934,80.78005852,53.54538074
atlas,-1.591567,3.964442,12.566711,68.96141925,78.03844549,57.17086164
atlas,-1.639945,4.010166,12.563278,68.45156962,88.12224864,55.82339919
atlas,-1.668995,4.027,12.581888,71.91102375,85.18005463,57.14418149
atlas,-1.697518,4.059585,12.564216,73.38206795,84.18246636,58.4776789
atlas,-1.744662,4.086374,12.580851,72.39502196,80.12086642,56.18544109
atlas,-1.785192,4.152541,12.577431,74.65589615,83.06940913,55.46357928
atlas,-1.807836,4.174193,12.580994,76.84074693,83.19651632,55.37348837
atlas,-1.828577,4.207702,12.572067,75.51513005,85.76087527,57.17775903
atlas,-1.829301,4.218902,12.595453,77.20778293,84.41370899,55.5747746
atlas,-1.830955,4.248534,12.626258,78.24500962,81.25617322,59.28456121
atlas,-1.827132,4.261825,12.675696,79.25429471,76.80359979,58.40061598
atlas,-1.804368,4.292266,12.656364,78.71044616,83.27995422,60.34339757
atlas,-1.795907,4.319345,12.672349,79.4599362,84.69087049,59.57200716
atlas,-1.755879,4.407395,12.627586,79.76472504,91.89113757,59.66748524
atlas,-1.758428,4.431309,12.647409,79.12885902,84.78766731,59.90778219
atlas,-1.757406,4.462517,12.652748,80.29727157,86.93317389,61.5347589
atlas,-1.732472,4.482395,12.677222,82.77972491,86.23690333,63.34440077
atlas,-1.699457,4.476451,12.753648,80.46070004,87.30124809,61.84856558
atlas,-1.672628,4.507485,12.753109,78.82769691,84.74732519,60.45779957
atlas,-1.640587,4.5297,12.756608,80.99233924,86.12136184,62.27248351
atlas,-1.611019,4.558001,12.759787,79.91820745,87.18145773,59.45037434
atlas,-1.557395,4.63506,12.730112,80.88159028,94.85054518,60.84966559
