timing,foreaft, lateral,normal
222,-0.1387,0.08804,-0.04586
223,-0.16661,0.12736,-0.06065
224,-0.17365,0.10147,-0.04743
225,-0.16347,0.10585,-0.05388
226,-0.16405,0.0754,-0.06592
227,-0.16519,0.084,-0.06817
228,-0.16326,0.08498,-0.06389
229,-0.16738,0.06231,-0.06565
230,-0.15563,0.0827,-0.04783
231,-0.18289,0.08642,-0.06582
232,-0.16086,0.08439,-0.05819
233,-0.14286,0.09939,-0.06814
234,-0.14663,0.09755,-0.06229
235,-0.14354,0.07817,-0.05397
236,-0.13911,0.0884,-0.0601
237,-0.14841,0.07939,-0.06087
238,-0.12104,0.06784,-0.06079
239,-0.14631,0.10669,-0.07054
240,-0.16641,0.07155,-0.05646
241,-0.1582,0.06192,-0.05331
242,-0.16128,0.0942,-0.06882
243,-0.15295,0.07118,-0.06553
244,-0.15189,0.08712,-0.0603
245,-0.13833,0.09123,-0.06543
246,-0.15584,0.10582,-0.06479
247,-0.13223,0.10561,-0.06823
248,-0.17756,0.06636,-0.06344
249,-0.15288,0.06911,-0.06081
250,-0.16745,0.08931,-0.06114
251,-0.15657,0.06353,-0.05867
252,-0.15217,0.09082,-0.05619
253,-0.16199,0.08885,-0.06699
254,-0.17818,0.11304,-0.05399
255,-0.1472,0.10799,-0.05391
256,-0.14504,0.10155,-0.06498
257,-0.16925,0.09831,-0.0628
258,-0.19244,0.08659,-0.06595
259,-0.17494,0.08797,-0.06062
260,-0.1651,0.08892,-0.05322
261,-0.1267,0.09609,-0.06687
262,-0.16649,0.08943,-0.05193
263,-0.15344,0.07358,-0.04962
264,-0.15101,0.06407,-0.05106
265,-0.17326,0.11197,-0.06136
266,-0.14635,0.05911,-0.0635
267,-0.15313,0.05832,-0.06273
268,-0.15969,0.07439,-0.05635
269,-0.15169,0.11832,-0.06087
270,-0.15075,0.09095,-0.05504
271,-0.15432,0.06821,-0.06177
272,-0.11508,0.08499,-0.06437
273,-0.1476,0.08224,-0.05478
274,-0.13586,0.09734,-0.07241
275,-0.16841,0.10127,-0.0653
276,-0.16975,0.0897,-0.06481
277,-0.14171,0.08086,-0.05443
278,-0.17708,0.09118,-0.06439
279,-0.15879,0.06973,-0.07035
280,-0.14273,0.09956,-0.05281
281,-0.15513,0.08,-0.04768
282,-0.1763,0.09227,-0.06139
283,-0.16067,0.1038,-0.06284
284,-0.14632,0.06564,-0.07705
285,-0.13246,0.07405,-0.06296
286,-0.16506,0.09419,-0.0644
287,-0.16409,0.08954,-0.05017
288,-0.16181,0.11401,-0.06272
289,-0.17729,0.1064,-0.06216
290,-0.12443,0.08628,-0.06341
291,-0.16107,0.11337,-0.06407
292,-0.17159,0.0845,-0.05513
293,-0.13159,0.10528,-0.06593
294,-0.14367,0.10402,-0.06499
295,-0.13872,0.0882,-0.06237
296,-0.13821,0.11849,-0.05238
297,-0.15315,0.06909,-0.06147
298,-0.14532,0.11073,-0.06023
299,-0.16065,0.05949,-0.0649
300,-0.14193,0.07543,-0.05925
301,-0.15844,0.09264,-0.06798
302,-0.14805,0.10521,-0.05883
303,-0.15424,0.09877,-0.06278
304,-0.12606,0.08574,-0.06857
305,-0.14798,0.11208,-0.05836
306,-0.14874,0.07983,-0.05028
307,-0.14287,0.09494,-0.04487
308,-0.13259,0.08749,-0.06208
309,-0.15035,0.09655,-0.06823
310,-0.15024,0.11582,-0.06528
311,-0.11601,0.0924,-0.06389
312,-0.15436,0.08784,-0.05879
313,-0.16093,0.10813,-0.05483
314,-0.12805,0.08807,-0.06462
315,-0.12013,0.09707,-0.06016
316,-0.12502,0.07453,-0.06331
317,-0.13374,0.09072,-0.05489
318,-0.10711,0.10726,-0.04596
319,-0.15632,0.07923,-0.06517
320,-0.17299,0.1067,-0.04745
321,-0.15019,0.08254,-0.06411
322,-0.14962,0.07996,-0.07035
323,-0.14869,0.09906,-0.06304
324,-0.15351,0.10087,-0.06524
325,-0.14404,0.07649,-0.06672
326,-0.17356,0.09951,-0.06621
327,-0.14673,0.08184,-0.04459
328,-0.15216,0.07601,-0.04436
329,-0.16296,0.09996,-0.06595
330,-0.21663,0.10952,-0.0548
331,-0.17022,0.07906,-0.06101
332,-0.15174,0.10424,-0.06346
333,-0.14926,0.07814,-0.05577
334,-0.13233,0.09338,-0.06292
335,-0.18359,0.10355,-0.06754
336,-0.14495,0.06803,-0.08005
337,-0.12745,0.07249,-0.07005
338,-0.13843,0.08852,-0.04194
339,-0.12935,0.08817,-0.06466
340,-0.16006,0.1226,-0.0606
341,-0.15638,0.07316,-0.05224
342,-0.15039,0.09595,-0.05264
343,-0.17774,0.10247,-0.06522
344,-0.14346,0.07732,-0.06876
345,-0.17151,0.09233,-0.05502
346,-0.1733,0.09904,-0.06667
347,-0.13135,0.10376,-0.06273
348,-0.15012,0.07092,-0.06199
349,-0.10262,0.09888,-0.06963
350,-0.13641,0.10142,-0.05228
351,-0.15115,0.07588,-0.06344
352,-0.13737,0.10108,-0.0555
353,-0.14845,0.11413,-0.03961
354,-0.13691,0.11234,-0.06362
355,-0.15142,0.08531,-0.06489
356,-0.12444,0.05749,-0.06466
357,-0.16278,0.06853,-0.07456
358,-0.14192,0.08543,-0.06769
359,-0.13762,0.04084,-0.07185
360,-0.15007,0.07541,-0.05538
361,-0.13121,0.0552,-0.06082
362,-0.16007,0.0877,-0.06688
363,-0.13644,0.07035,-0.05534
364,-0.14272,0.07111,-0.06474
365,-0.12685,0.09238,-0.04557
366,-0.13413,0.07994,-0.06532
367,-0.14098,0.05544,-0.05605
368,-0.13841,0.09265,-0.06704
369,-0.14719,0.07914,-0.06918
370,-0.14093,0.09227,-0.04714
371,-0.12847,0.0815,-0.05522
372,-0.15308,0.06844,-0.05577
373,-0.12444,0.06907,-0.07222
374,-0.16815,0.08512,-0.04951
375,-0.14477,0.08396,-0.05979
376,-0.13103,0.06793,-0.05687
377,-0.1523,0.08486,-0.05967
378,-0.11595,0.11143,-0.05246
379,-0.1743,0.09581,-0.04963
380,-0.15415,0.07205,-0.05783
381,-0.1283,0.09065,-0.06405
382,-0.14785,0.04919,-0.04467
383,-0.16456,0.0723,-0.06409
384,-0.16708,0.09392,-0.07112
385,-0.1411,0.06758,-0.03983
386,-0.16089,0.10206,-0.06038
387,-0.14675,0.07461,-0.06479
388,-0.15017,0.0773,-0.04633
389,-0.16404,0.09859,-0.0614
390,-0.15326,0.0949,-0.05279
391,-0.14438,0.10283,-0.05447
392,-0.15605,0.07664,-0.0567
393,-0.13774,0.0824,-0.04455
394,-0.14831,0.07781,-0.06358
395,-0.16423,0.08709,-0.05011
396,-0.1557,0.10276,-0.06289
397,-0.15475,0.07019,-0.06227
398,-0.12517,0.09224,-0.06713
399,-0.12422,0.08811,-0.05128
400,-0.14169,0.08524,-0.05536
401,-0.14244,0.09254,-0.05944
402,-0.16187,0.06695,-0.07617
403,-0.13681,0.05081,-0.04791
404,-0.15407,0.08831,-0.06395
405,-0.1403,0.08169,-0.06325
406,-0.12118,0.07295,-0.065
407,-0.14816,0.07076,-0.07324
408,-0.12813,0.04524,-0.03794
409,-0.14989,0.07316,-0.05537
410,-0.12481,0.04211,-0.04909
411,-0.12052,0.0584,-0.06529
412,-0.12883,0.06435,-0.04935
413,-0.14465,0.06703,-0.06314
414,-0.15675,0.06971,-0.0679
415,-0.137,0.03479,-0.05116
416,-0.14641,0.06147,-0.05182
417,-0.12118,0.0562,-0.05694
418,-0.15506,0.05586,-0.06275
419,-0.14185,0.07117,-0.06356
420,-0.13468,0.06966,-0.06712
421,-0.11605,0.07036,-0.07334
422,-0.14643,0.08496,-0.06705
423,-0.11698,0.04407,-0.07234
424,-0.12546,0.02258,-0.06645
425,-0.13516,0.05292,-0.05692
426,-0.11004,0.04815,-0.0585
427,-0.13625,0.08555,-0.06435
428,-0.11969,0.08153,-0.07971
429,-0.14577,0.03806,-0.05311
430,-0.13553,0.0486,-0.05833
431,-0.16056,0.05939,-0.07435
432,-0.1617,0.09238,-0.07789
433,-0.14353,0.07542,-0.06406
434,-0.09317,0.07815,-0.07789
435,-0.13302,0.06112,-0.05468
436,-0.15173,0.05187,-0.0657
437,-0.13511,0.0656,-0.0661
438,-0.13448,0.05237,-0.07634
439,-0.14133,0.04882,-0.06054
440,-0.13859,0.04739,-0.06696
441,-0.12628,0.0768,-0.06773
442,-0.12045,0.05078,-0.06838
443,-0.13508,0.08171,-0.04787
444,-0.13691,0.06807,-0.06125
445,-0.13861,0.07189,-0.05818
446,-0.14435,0.07797,-0.05473
447,-0.13109,0.08152,-0.05472
448,-0.15268,0.06898,-0.06043
449,-0.13048,0.08194,-0.05595
450,-0.13774,0.07976,-0.06936
451,-0.12347,0.06872,-0.07368
452,-0.15316,0.09686,-0.05755
453,-0.13482,0.05624,-0.06828
454,-0.12154,0.03739,-0.07209
455,-0.13009,0.08184,-0.0676
456,-0.14803,0.06245,-0.05141
457,-0.13431,0.04915,-0.0507
458,-0.11442,0.06367,-0.05083
459,-0.15883,0.06145,-0.05279
460,-0.12409,0.08185,-0.05981
461,-0.13641,0.06088,-0.05635
462,-0.12984,0.08503,-0.05181
463,-0.16084,0.05718,-0.05088
464,-0.12836,0.06053,-0.06617
465,-0.14055,0.04263,-0.05935
466,-0.15193,0.05955,-0.05806
467,-0.13522,0.03996,-0.07332
468,-0.14291,0.05529,-0.04102
469,-0.15275,0.05533,-0.05168
470,-0.11932,0.06575,-0.05232
471,-0.12361,0.07618,-0.05983
472,-0.17314,0.05777,-0.06309
473,-0.12075,0.0757,-0.05491
474,-0.14541,0.05447,-0.05247
475,-0.14941,0.07685,-0.05775
476,-0.16838,0.03739,-0.06965
477,-0.17969,0.05019,-0.07011
478,-0.16564,0.06209,-0.07904
479,-0.16156,0.05926,-0.05678
480,-0.1279,0.06136,-0.05083
481,-0.1622,0.06195,-0.07246
482,-0.15446,0.06909,-0.06729
483,-0.16238,0.0603,-0.06998
484,-0.15391,0.05434,-0.0755
485,-0.14799,0.07257,-0.06308
486,-0.17993,0.01415,-0.05587
487,-0.15346,0.03655,-0.04895
488,-0.14227,0.04619,-0.05928
489,-0.15606,0.0736,-0.07145
490,-0.15816,0.03641,-0.06587
491,-0.15565,0.08292,-0.05833
492,-0.16271,0.04924,-0.06551
493,-0.154,0.04377,-0.06027
494,-0.14912,0.01174,-0.06372
495,-0.14404,0.0386,-0.04637
496,-0.16681,0.04437,-0.05928
497,-0.16075,0.05673,-0.04359
498,-0.1354,0.04128,-0.03558
499,-0.1614,0.04941,-0.04633
500,-0.17314,0.08225,-0.03657
501,-0.15769,0.07692,-0.04934
502,-0.18712,0.06371,-0.05029
503,-0.1575,0.06771,-0.04579
504,-0.13191,0.04993,-0.04462
505,-0.17864,0.05148,-0.04104
506,-0.14733,0.03069,-0.04716
507,-0.16766,0.0272,-0.04573
